#lemma_id,#writing_and_accounting_related_ranked,#senses,#notes,#spellings
leʾum [BOARD],xxxxx,"writing board, board (used as a door), board (of a plow)",,"le-um, li, <sup>ŋeš</sup>li, <sup>ŋeš</sup>le-um, le-u5-um, <sup>ŋeš</sup>le-u5-um, <sup>ŋeš</sup>le-u5, <sup>ŋeš</sup>li2-u3, <sup>ŋeš</sup>li2-u5-um"
ligin [TABLET],xxxxx,"tablet with excerpts,  school text",,"li-gi4-in, <sup>im</sup>li-gi4-in"
luʾimnak [ACCOUNTANT],xxxxx,an accountant,,lu2-im-<sup>na4</sup>na
mašdara [INSCRIPTION],xxxxx,"inscription, writing board",,"maš-dara3, <sup>ŋeš</sup>maš-dara3, maš<sup>ma</sup>-<sup>aš2</sup>-<sup>tar</sup>dara2, <sup>ŋeš</sup>maš-dara4, <sup>ŋeš</sup>maš-tar, maš-dara2, maš<sup>ma</sup>-<sup>aš2</sup>-<sup>tar</sup>dara2"
muguba [EXERCISE TABLET],xxxxx,exercise tablet,,"mu-gub-ba, <sup>im</sup>mu-gub-ba, <sup>im</sup>gub-ba"
musara [INSCRIPTION],xxxxx,inscription,,"mu-sar-ra, mu-sar"
na [STONE],xxxxx,"stone weight, pit",,"na4, na, <sup>na4</sup>na, na4-na4, nax(UD.NI), na5"
nambisaŋdubak [OFFICE OF ARCHIVIST],xxxxx,office of archivist,,nam-bisaŋ-dub
namdub [WRITING],xxxxx,writing,,nam-dub
niŋsuru [~TABLET],xxxxx,assignment or section of a tablet,,"niŋ2-sur, niŋ2-sur-ru"
Nisabak [1],xxxxx,1,,"<sup>d</sup>nisaba, <sup>d</sup>nisaba-ke4, nisaba, <sup>d</sup>nisaba-kam, <sup>d</sup>nisaba2, <sup>d</sup> <sup>nisaba</sup>ŠID, nisaba2, <sup>d</sup>ŠID, <sup>d</sup> <sup>nisaba</sup>ŠID"
nu.ŠID [ACCOUNTANT?],xxxxx,accountant?,,nu-ŠID
saŋtak [TRIANGLE],xxxxx,"triangle (math.), wedge",,"saŋtak4, saŋtak3, saŋ-KAK, santak2, saŋtak, saŋ-DIŠ, saŋdux(SAG)"
sar [SHARPEN],xxxxx,to sharpen,,"sar-sar, sar"
sar [WRITE],xxxxx,to write,,"sar, sar-sar, sa, sar<sup>ar</sup>, sar<sup>ar</sup>"
situm [BALANCE],xxxxx,balance (of a settled account),,"si-i3-tum, si-tum, si-i-tum"
su [SINK],xxxxx,"to submerge, to sink, to drain",,"su, su-su, su3-su3, su3, su-su-su, šu2, sa, su13-su13, su2"
su [SPRINKLE],xxxxx,"to sprinkle,  strew, to adorn,  decorate",,"su3, su3-su3, su13, su13-su13, su3-ud, su, su-su, su3-su3-su3, <sup>su</sup>su3, <sup>gi</sup>su3-su3, <sup>su</sup>su3"
šab [SEALING],xxxxx,"clay sealing,  sealed bulla",,šab
šaba [STONE],xxxxx,a stone,,<sup>na4</sup>ša-ba
šid [COUNT],xxxxx,"to count, to deliver, to recite,  to read, count(ing) [N], number [N], half (shares) [N]",,"šid, šid-šid, ši-da, si-id, <sup>ši</sup>-<sup>di</sup>šid, <sup>ši</sup>-<sup>id</sup>šid, šid<sup>ši</sup>-<sup>id</sup>-ma, šid-ma, <sup>ši</sup>-<sup>di</sup>šid, <sup>ši</sup>-<sup>id</sup>šid, šid<sup>ši</sup>-<sup>id</sup>-ma"
šitadu [ACCOUNTANT],xxxxx,accountant,,"šita5-du3, šita5"
šu tag [DECORATE],xxxxx,to decorate,,"šu tag, šu tag-ga, šu ta-ak, šu ta-ke4, šu tag-tag"
šu tag [TOUCH],xxxxx,to touch,,šu tag
tag [TOUCH],xxxxx,"to touch,  take hold of, to bind, to attack, to slap on,  plaster, to play an instrument",,"tag, tag-tag, tag-ga, ta, ta-ak, ta-ke4, tag-ga<sup>ku6</sup>, tag-ta, <sup>ta</sup>-<sup>ag</sup>tag, <<sag>>, tag+X, <sup>ta</sup>-<sup>ag</sup>tag"
umbisaŋ [SCRIBE],xxxxx,"scribe, scholar",,"umbisaŋ, umbisaŋ2, <sup>u2</sup>-<sup>bi</sup>-<sup>sag</sup>umbisaŋ, <sup>u2</sup>-<sup>bi</sup>-<sup>ša2</sup>-<sup>ga</sup>umbisaŋ2, ubišaga, <sup>u2</sup>-<sup>bi</sup>-<sup>sag</sup>umbisaŋ, <sup>u2</sup>-<sup>bi</sup>-<sup>ša2</sup>-<sup>ga</sup>umbisaŋ2"
ummia [EXPERT],xxxxx,"expert, master craftsman",,"um-mi-a, um-me-a, um-me-am3"
zib [MARK],xxxxx,"a mark,  token, colour,  paint",,"zib2, zib, <sup>zi</sup>-<sup>ib</sup>zib2, za3, <sup>zi</sup>-<sup>ib</sup>zib2"
gid [DRAG],xxxxx,"to drag,  tow (a boat upstream), to tighten, to pass along,  transfer, to draw up a document, to flay a dead animal, to milk, to unsheath,  pull out, to haul (earth)",,"gid2, gid2-gid2, gid2<sup>gi</sup>-<sup>id</sup>-<sup>gi</sup>-<sup>id</sup>gid2, gid2<sup>gi</sup>, <sup>gi</sup>gid2, gid2<sup>gi</sup>-<sup>id</sup>-<sup>gi</sup>-<sup>id</sup>gid2, gid2<sup>gi</sup>, <sup>gi</sup>gid2"
ŋeš hur [DRAW],xxxxx,to draw,,"ŋeš ḫur, ŋeš ḫur-ḫur"
hur [SCRAPE],xxxxx,"to scrape off,  grub up",,"ḫu, ḫu-ra, ḫu-ḫu"
hur [SCRATCH],xxxxx,"to scratch,  draw",,"ḫur, ḫur-ḫur, ara3<sup>a</sup>-<sup>ra</sup>-ra, <sup>ḫu</sup>ḫur, ara3-ra, ara3<sup>a</sup>-<sup>ra</sup>-ra, <sup>ḫu</sup>ḫur"
muhur [PLAN],xxxxx,drawing,,mu-ḫur
murgu [DRAW],xxxxx,"to draw,  design",,murgu
eda [BOARD],xxxxx,board,,<sup>ŋeš</sup>e2-da
ŋešdubak [BOARD],xxxxx,tablet board,,"<sup>na4</sup>ŋeš-dub, ŋeš-dub, ŋeš-dub-ba"
kam [BOARD],xxxxx,"board,  plaque, tablet",,"kam, kam3, kamx(KAD5)"
kiʾumun [PLACE OF LEARNING],xxxxx,place of learning,,ki-umun2
ig [DOOR],xxxxx,door,,"<sup>ŋeš</sup>ig, ig, <sup>gi</sup>ig"
eškurum [WAX],xxxxx,wax,,"eš-ku-ru-um, eš-ku-ru"
gabalal [WAX],xxxxx,wax,,gaba-lal3
gaba ri [CONFRONT],xxxxx,"to confront, to equal, to copy",,"gaba RI, gaba rig8, gaba-gaba RI"
gabari [COPY],xxxxx,"copy, equal, opponent, reply, opposite side, qualification of a sieve",,"gaba-ri, gaba-ra, <sup>lu2</sup>gaba-ru, gaba"
ŋešhur [PLAN],xxxxx,plan,,"ŋeš-ḫur, ni-iš-ḫu-ur, ḫur-ḫur, gešḫurx(KAD5)"
la [HANG],xxxxx,"to hang,  balance,  suspend, (to be) suspended [V/i], to weigh,  weigh (out),  pay, to carry, to supervise,  check, to show,  display, to bind, binding,  (yoke-)team [N], to press,  throttle, to winnow (grain)",,"la2, la2-la2, la, lal2, la-la, le"
luʾešgid [SURVEYOR],xxxxx,surveyor,,"lu2-eš2-gid2, lu2-eš2<sup>t</sup>-gid2"
burgul [STONE-CUTTER],xxxxx,stone-cutter,,"bur-gul, <sup>lu2</sup>bur-gul"
eburgul [WORKSHOP],xxxxx,stone-cutter's workshop,,e2-bur-gul
dubšen [CHEST],xxxx,"treasure chest, tablet box",,dub-šen
gag [NAIL],xxxx,"nail,  peg,  point,  stud, arrowhead, a part of the rib",,"<sup>ŋeš</sup>gag, gag, <sup>urud</sup>gag, <sup>gu</sup>gag, ga, gag<sup>gu</sup>, gag<sup>zabar</sup>, <sup>ka</sup>-<sup>ak</sup>gag, <sup>gi</sup>gag, <sup>gu</sup>gag, gag<sup>gu</sup>, <sup>ka</sup>-<sup>ak</sup>gag"
imgipad [TYPE OF LIST],xxxx,type of list,,im-gi-pad3
immunedug [TYPE OF LIST],xxxx,type of list,,im-mu-ne-dug4
kibigia [ACCOUNT],xxxx,"account,  balance sheet",,ki-bi-gi4-a
luniŋaŋ [PROFESSION],xxxx,"a profession,  measurer?",,lu2-niŋ2-aŋ2
šu gur [WIPE],xxxx,"to wipe clean, to erase",,"šu gur, šu gur10"
šu sub [RUB],xxxx,"to rub, to wipe off,  clean,  erase, to scrape together,  gather up,  collect,, to polish,  repair",,"šu su-ba, šu su-ub, šu su-bu, šu su-su-ba, šu su-su-ub, šu sub, šu su13-su13"
šu ur [ERASE],xxxx,"to erase, to level off (surveying), to clip (a bird), to spread?",,"šu ur3, šu ur3-ur3, šu ur, šu ur3-ra<sup>mušen</sup>, šu ur3-ur3-ra, šu ur4-ur4, šu ur2, šu ur4"
umbin la [SCRATCH],xxxx,to scratch,,umbin la2
umun [KNOWLEDGE],xxxx,"knowledge, workshop",,"umun2, <sup>u</sup>-<sup>mu</sup>-<sup>un</sup>umun2, <sup>u</sup>-<sup>mu</sup>-<sup>un</sup>umun2"
ur [DRAG],xxxx,"to drag, to go along [V/i], to wipe clean,  erase, to beat,  sweep away, to raise a boat, to flatten, to make baked bricks, to plaster,  to spread",,"ur3, ur3-ur3, u3-ru, ur3-ur3-ra, ur3-ra<sup>mušen</sup>, ur5, urx(BAḪAR2), ur, ur-ur, ur2, ur4-ur4, ur4"
zi [CUT],xxxx,"to cut,  remove, to erase, to pluck, tear out?",,"zix(IGI<sup>g</sup>), zi2, zi-zi, zi, si, zi-in-zi-in, zi-in-zi-im, ze2-ze2, zil"
zig [RISE],xxxx,"to rise, to levy,  raise,  muster [V/t], to remove [V/t], to issue [V/t], to expend [V/t], to swell, rising,  arising [N], attack [N], to excerpt [V/t], to deduct [V/t]",,"zig3, zi-zi, zi-ga, zi-zi-zi, zi2, zi-zi-i-zi, zi-ge, zi-i-zi, za, zi-iz-zi, zi-zi-i<sup>zi</sup>-<sup>zi</sup>, zi-zi-i<sup>zi</sup>-<sup>zi</sup>"
zir [BREAK],xxxx,"to break,  destroy, to tear out,  uproot, (to be) troubled [V/i], to erase,  cancel, to be spoiled [V/i]",,"zi, zi-re, zi-ir, zi2, zi2-ir, zi2-zi2, zi-ir-zi-ir, zi-ra, zi-zi, zi2-re, zi-ir-zi-re, zi2-ir-zi2-ir, zer3, zir, zi2-x-X, si-ir"
dur [BOARD],xxxx,"wooden ledger board, bottom board",,"<sup>ŋeš</sup>dur2, dur2, <sup>dur</sup>dur2, <sup>dur</sup>dur2"
galam [REED],xxxx,reed,,<sup>gi</sup>galam
galam [SKILFUL],xxxx,"(to be) skilful,  elaborate,  clever, to make artfully [V/t]",,"galam, galam-galam, ga-lam, galam-ma<sup>ki</sup>, <sup>ga</sup>galam-galam<sup>ga</sup>-<sup>la</sup>-<sup>am</sup>, <sup>ga</sup>galam-galam<sup>ga</sup>-<sup>la</sup>-<sup>ma</sup>, <sup>ga</sup>galam-galam<sup>ga</sup>-<sup>la</sup>-<sup>am</sup>, <sup>ga</sup>galam-galam<sup>ga</sup>-<sup>la</sup>-<sup>ma</sup>"
sabarsud [NOTATION],xxxx,a notation,,sa-bar-sud
gul [DESTROY],xxxx,"to destroy, to break (up),  pulverize, to flatten, to carve,  cut, to engrave, to go bad (said of foodstuffs), to shave (hair), to strip a boat, to whet, to erase (debt), to trim, to hold back,  restrain",,"gul, gul-gul, gu-ul, gu-ul-gu-ul, gu-le, gu-la, gul-lu-u8, gu-lu-u8, gu, gu-lu, ku"
dub [HEAP],xxxx,"to strew, to heap up,  pile,  pour, to whirl up (a duststorm)","šapāku and tabāku are both equivalents of DUB, cf. tabāku in the sense of “annul” cf. CAD T p. 9","dub, dub-dub, dub-dub-dub, <sup>du</sup>-<sup>ub</sup>dub, <sup>tu</sup>-<sup>ub</sup>dub, <sup>du</sup>-<sup>ub</sup>dub, <sup>tu</sup>-<sup>ub</sup>dub"
lal3.HI×AŠ2 [WAX],xxxx,wax,,"lal3-ḪI×AŠ2, lal3-ḫar-ra, lal3-ḫar-re"
dar [SPLIT],xxxx,"to break up,  crush,  grind, to split,  split up, to cut open","al-dar-ra = hepu^, cf. also gi al-dar-ra ~ scraper?","dar, dar-dar, da-ra, da"
lagab [DEBT-NOTE],xxxx,debt-note,,lagab
ru [REMOVE],xxxx,"to remove, to re-position","cf. TCBI 1, 015: o iii 2",ru
aŋ [MEASURE],xxx,to measure,,"aŋ2, aŋ2-ge2, ig"
aslum [ROD],xxx,measuring rod,,"<sup>ŋeš</sup>as4-lum, aš2-lum, <sup>gi</sup>aš-lum, <sup>ŋeš</sup>a-za-lum, <sup>ŋeš</sup>aš2-lum"
"ayalum [A TYPE OF RULER, A UNIT OF MEASUREMENT]",xxx,"a type of ruler,  a unit of measurement",,<sup>ŋeš</sup>aya4-lum
DUN [DECORATE],xxx,to decorate,,"DUN, DUN-DUN"
DUN3@g.la2 [SHEKEL WEIGHER?],xxx,shekel weigher?,,DUN3<sup>g</sup>-la2
gigubguba [MEASURING ROD],xxx,measuring rod,,gi-gub-gub-ba
gigur [CONTAINER],xxx,a measuring container,,"gi-gur, gi-gur<sup>ur3</sup>, ki-ku-ru-um, gi-gur<sup>ur3</sup>"
gug [STICK],xxx,"stick, weapon",,"gug, <sup>ŋeš</sup>PA.TAR<sup>gu</sup>-<sup>ug</sup>, gug6, <sup>ŋeš</sup>PA.TAR, <sup>ŋeš</sup>PA.TAR<sup>gu</sup>-<sup>ug</sup>"
ŋidru [SCEPTER],xxx,"scepter,  stick, measuring stick",,"ŋidru, <sup>ŋeš</sup>ŋidru, <sup>urud</sup>ŋidru, <sup>gi</sup>-<sup>id</sup>-<sup>ru</sup>ŋidru, <sup>gi</sup>-<sup>id</sup>-<sup>ru</sup>ŋidru"
imdumu [SEALING],xxx,leather sealing,,<sup>kuš</sup>im-du5-mu
kabduga [CHECKED],xxx,"checked, capacity measure (container)",,"kab2-dug4-ga, kab2-dug4, <sup>dug</sup>kab-dug4-ga, kab-di, kab-dug4-ga, kab2-da-ga, <sup>dug</sup>kab2-dug4-ga"
kila tag [WEIGH],xxx,"to weigh, weight after weaving [AJ]",,ki-la2 tag
kud [CUT],xxx,"to break off,  deduct, to separate,  cut off, to cut, to incise, to perform an action on a field, to decide, to make clear",,"kud, kud-kud, ku5-ru, ku5-ra, ku, kud-ta, <sup>ku</sup>-<sup>ud</sup>kud, gud, gur5, ku-ku, kud-da<sup>sar</sup>, gu-da, kud-ta<sup>sar</sup>, ku5-ku5-ru, ku7-ku7, <sup>ku</sup>-<sup>ud</sup>kud"
kugla [SILVER WEIGHER],xxx,silver weigher,,"kug-la2, lu2-kug-la2"
ligtum [SELECTION],xxx,"alum, selection,  gathered material",,"li2-ig-tum, li-ig-tum"
manala [WEIGHMASTER],xxx,weighmaster,,"ma-na-la2, ma-la-la, ma-ŋa2-la2, ma2-la2"
mangara [CHISEL],xxx,chisel,,"ma-an-gara2, ma-an-ga-ra, magar<sup>ma</sup>-<sup>qa</sup>-<sup>ar</sup> <sup>zabar</sup>, ma-an-gara2<sup>zabar</sup>, <sup>urud</sup>ma-an-gara2, magar<sup>zabar</sup>, mangara, magar<sup>ma</sup>-<sup>qa</sup>-<sup>ar</sup> <sup>zabar</sup>"
niŋgula [~ACCOUNTING],xxx,an accounting term,,niŋ2-gu-la
niŋkas [ACCOUNT],xxx,account,,"niŋ2-kas7, kas7, <sup>ka</sup>kas7, niŋ2-ŠID-ma, <sup>ka</sup>kas7"
niŋkud [WEDGE],xxx,a cutting tool,,niŋ2-kud
nu.DAR [PROFESSION],xxx,a profession,,nu-DAR
sag [BEAT],xxx,"to strike,  beat, to weave, to thresh, to level off (a measure)",,"sag3, sag3-sag3, sig3-ga, sag2, si, sig, sag2-sag2, sigx(PA.GI), sag2<sup>sa</sup>-<sup>ag</sup>, <sup>sa</sup>-<sup>ag</sup>sag3, sag9, sig17<sup>?</sup>, <sup>ŋeš</sup>sag3-sag3, sag2<sup>sa</sup>-<sup>ag</sup>, <sup>sa</sup>-<sup>ag</sup>sag3"
saŋdub [LABORER],xxx,"high-quality laborer, an accounting term for female workers",,"saŋ-dub, saŋ-dub-ba"
saŋtag [~WORKER],xxx,an accounting term for male workers,,saŋ-tag
sar [RUN],xxx,"to run,  hasten, to make run [V/t], to chase away [V/t]",,"sar, sar-sar, sa, sa-re, <sup>ša4</sup>šar2, <sup>ša4</sup>šar2"
sar [SHAVE],xxx,to shave,,"sar, sakar-sakar, <sup>sa</sup>-<sup>kar</sup>sar, <sup>sa</sup>-<sup>kar</sup>sar"
šu tahab dug [SOAK?],xxx,"to ooze,  drip?, to soak,  saturate?",,šu ta-ḫab2 dug4
ur [ANOINT],xxx,"to rub in,  anoint",,ur5
šab [CUT],xxx,"to cut,  fell (of trees), to slash, to trim,  peel off, to break off,  deduct, to gather together,  collect,  scrape up, to become loose,  fall out [V/i], to disintegrate [V/i], to disappear [V/i], to incise, to draw,  design, to dig,  hollow out, to have a grooved shape [V/i], to inspect exta, to make clear",,"šab, ša2-ab, šab-šab, sa-ba, šu-ub"
kišuš [NOTATION],xxx,"a musical notation,  a rubric",,ki-šuš2
luʾumumak [PROFESSION],xxx,a profession,,lu2-umum-ma
sabar [NET],xxx,a net,,"sa-par3, sa-par4, sa-bar, sa-bar-sa-bar"
sagida [NOTATION],xxx,"a musical instrument, a musical notation",,sa-gid2-da
saŋara [NOTATION],xxx,a musical notation,,"sa-ŋar-ra, sa-ŋar"
zu [KNOW],xxx,"to know,  learn, to make known,  teach",,"zu, zu-zu, su, za, zu-a, iz, niŋ2-nam-zux(SU)-bi, zi, zu2"
igdib [~DOOR],xxx,"a kind of door,  or part of a door",,"<sup>ŋeš</sup>ig-dib, <sup>ŋeš</sup>ig-dib-ba"
ŋešdim [CARVER],xxx,wood carver,,ŋeš-dim2
de [POUR],xxx,"to pour, to winnow","šapāku and tabāku are both equivalents of DUB, cf. tabāku in the sense of “annul” cf. CAD T p. 9","de2, de2-de2, di, <sup>de</sup>-<sup>e</sup>de2, de3, de-a, de3-de3, de5, <sup>di</sup>de2, de6, <sup>de</sup>-<sup>e</sup>de2, <sup>di</sup>de2"
gi [POUR],xxx,to pour,,gi4
hal [DIVIDE],xxx,"to divide,  deal out,  distribute, to perform an extispicy, to open, a secret [N], to pour away, to sieve, to slink,  crawl away [V/i], a qualification of grain [AJ]",,"ḫa-la, ḫal, ḫal-ḫal, ḫal-ḫa, ḫa, ḫa-al-ḫa, ḫa-la-ḫa-la"
ri [IMPOSE],xxx,"to lay down,  cast,  place, to set in place,  imbue, to lean on, to impose, to throw down, to release,  let go, to walk along [V/i], to pour out, to lead away, to ride",,"RI, ru, ri-ri, ra, rig8, ru-us2, ru-uš2, dirig, ru-ru, <sup>di</sup>RI, <sup>di</sup>RI"
eššeb [LANDSCAPE],xxx,"a deeply incised landscape, clay pit",,"eššeb, eššeb<sup>še</sup>-<sup>še</sup>-<sup>eb</sup>, eššeb<sup>še</sup>-<sup>še</sup>-<sup>eb</sup> <sup>ki</sup>, eššeb<sup>ki</sup>, eššeb<sup>še</sup>-<sup>še</sup>-<sup>eb</sup>, eššeb<sup>še</sup>-<sup>še</sup>-<sup>eb</sup> <sup>ki</sup>"
suhur [INSERT],xxx,"to insert, to scratch, to incise",,suḫur
suhur [TOOL],xxx,"a tool, goad stick",,"<sup>ŋeš</sup>suḫur, suḫur, suḫur<sup>ku6</sup>"
dab [GO AROUND],xxx,"to go around,  encircle,  turn, to surround, to search [V/i], to tarry [V/i]",,"dab6, dab4, da, <sup>da</sup>-<sup>ab</sup>dab4, <sup>du</sup>-<sup>ub</sup>dab4, <sup>da</sup>-<sup>ab</sup>dab4, <sup>du</sup>-<sup>ub</sup>dab4"
gu dub [ALIGN],xxx,to align with a string,,"gu dub2, gu2 dub, gu2 dub2-dub2"
luʾiduba [PROFESSION],xxx,a granary worker?,,lu2-i3-dub-ba
barhuda [TOOL],xxx,"a tool, a reed cutter",,bar-ḫu-da
pamušenak [WING],xxx,"wing, feather",,"pa-mušen-na, pa-mušen-na-ka, pa-mušen, pa-mušen-na-ke4"
ti [FEATHER],xxx,"feather, an ornament of feathers",,ti<sup>mušen</sup>
gizi [REED],xxx,fresh reed,,"gi-zi, gazi"
arina [MADDER],xxx,"madder, dye obtained from the madder plant",,"e-ri2-na, i3-ri2-na, <sup>ŋeš</sup>arinax(I.LU2<sup>s</sup>.NA), arinax(I.LU2<sup>s</sup>.NA), i3-ri2, a-ri2-na, <sup>u2</sup>i3-ri2-na, a-ri2-na<sup>sar</sup>, erina8, i-rin5, nu-i-rin5, ri2-in, a-rin5(LAK349)-na<sup>sar</sup>, e-ri-na, e-ri8-na, erina, erinx(MUŠ%MUŠ×MAŠ)-na, i-ri9-an-na, <sup>ŋeš</sup>a-ri-na, <sup>ŋeš</sup>a-ri9-na, <sup>ŋeš</sup>erina8, <sup>ŋeš</sup>i-ri-na, <sup>ŋeš</sup>i-ri2-na, <sup>ŋeš</sup>i-ri8-na, a-i3-ri2-na, a-ri8-na, erinx(MUŠ%MUŠ×MAŠ), i-ri8-na, <sup>ŋeš</sup>arinax(LU2<sup>s</sup>.NA), <sup>ŋeš</sup>arinax(UR2×A), <sup>ŋeš</sup>arinax(UR2×A)<sup>na</sup>, <sup>ŋeš</sup>arinax(UR2×A)<sup>na</sup>"
šu ŋal [UNMNG],xxx,?,,"šu ŋal2, šu ŋal2-la, šu ŋal2-ŋal2"
